                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                 1.4585,                0.88791,                 1.3078,                 1.6613,                 1.2048,                 1.2671,                0.85917,                0.61534,                0.72177,                0.40477,                 1.4534,                 0.8311,                 1.2653,                 1.6753,                 1.1157,                 1.2462,               0.001208,               0.001208,               0.001208
                     43,                 1.4669,                0.89606,                 1.3134,                 1.6705,                 1.2196,                 1.2695,                0.80212,                0.64697,                0.72241,                0.40036,                  1.502,                0.80387,                  1.263,                 1.7235,                 1.0621,                 1.2442,              0.0011882,              0.0011882,              0.0011882
                     44,                  1.442,                0.87859,                 1.2988,                 1.6594,                 1.1908,                 1.2615,                0.83324,                 0.6497,                0.73877,                0.42014,                 1.4373,                0.80785,                 1.2427,                 1.6397,                 1.0375,                 1.2132,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.4298,                0.86331,                 1.2893,                 1.6363,                 1.1645,                 1.2515,                0.82823,                0.65012,                0.72994,                0.41396,                 1.4505,                0.80619,                 1.2568,                 1.6728,                 1.0435,                 1.2324,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.4304,                0.85826,                 1.2892,                 1.6318,                 1.1468,                 1.2572,                0.80725,                0.65016,                0.73237,                 0.4284,                 1.4363,                0.77815,                 1.2398,                 1.6366,                 1.0005,                 1.2162,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.4187,                 0.8592,                 1.2833,                 1.6261,                 1.1616,                 1.2468,                0.82398,                0.66033,                0.74028,                0.42479,                 1.4033,                0.76806,                  1.235,                 1.6357,                0.98197,                 1.2244,               0.001109,               0.001109,               0.001109
                     48,                  1.436,                0.86074,                 1.2967,                 1.6436,                  1.169,                 1.2587,                0.82812,                0.63751,                0.73743,                0.41919,                 1.4228,                0.76971,                 1.2387,                 1.6552,                0.98649,                  1.226,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.3878,                0.83305,                 1.2642,                 1.6002,                 1.1181,                 1.2309,                0.80989,                0.66807,                 0.7473,                0.42739,                 1.4176,                0.76522,                  1.229,                 1.6503,                0.98939,                 1.2167,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.4055,                 0.8452,                 1.2761,                 1.6204,                 1.1322,                 1.2442,                0.82055,                0.65091,                0.73557,                0.41513,                 1.4662,                0.79347,                 1.2443,                 1.6933,                 1.0269,                 1.2313,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.3996,                0.83402,                 1.2663,                 1.6151,                 1.1189,                 1.2312,                0.84433,                0.64966,                0.73848,                0.42385,                 1.4338,                0.78096,                 1.2431,                 1.6472,                 1.0211,                  1.224,              0.0010298,              0.0010298,              0.0010298
