                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.2088,                0.73224,                 1.3782,                0.85569,                0.76675,                 0.8273,                0.47864,                 1.4492,                0.80355,                 1.6122,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.2116,                0.73034,                 1.3774,                0.90316,                0.74862,                0.83811,                0.48178,                 1.4752,                0.80202,                 1.6192,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.2093,                0.73424,                 1.3763,                0.87199,                0.75493,                0.83007,                0.47347,                 1.4832,                0.77898,                  1.646,               0.000911,               0.000911,               0.000911
                     57,                 1.1892,                0.72287,                 1.3667,                0.89011,                 0.7532,                0.83002,                0.47863,                 1.4619,                0.79263,                 1.5987,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.1914,                0.71702,                 1.3541,                0.85999,                0.77384,                0.82968,                0.47614,                 1.4473,                0.76605,                 1.6091,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.1707,                0.70345,                 1.3439,                0.87432,                0.75105,                0.82524,                0.48758,                 1.4554,                0.78434,                 1.6185,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.1693,                0.70458,                 1.3466,                 0.8493,                0.77273,                0.83022,                0.47841,                 1.4802,                0.78505,                 1.6236,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.1685,                0.70496,                 1.3344,                0.85431,                0.77305,                0.82761,                0.47978,                 1.4816,                0.79732,                 1.6423,               0.000812,               0.000812,               0.000812
                     62,                 1.1539,                0.69541,                  1.329,                0.87313,                0.75925,                0.83132,                0.48172,                 1.4693,                0.77375,                 1.6235,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.1527,                0.68597,                 1.3259,                0.87991,                0.77369,                0.83903,                0.48764,                  1.473,                0.78194,                 1.6516,              0.0007724,              0.0007724,              0.0007724
                     64,                  1.151,                0.68806,                 1.3235,                0.87237,                 0.7756,                0.83276,                0.48232,                 1.4629,                0.77347,                 1.6485,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.1466,                 0.6858,                 1.3161,                 0.8414,                0.77069,                0.82764,                0.48531,                 1.4676,                0.77664,                 1.6462,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.1389,                 0.6798,                 1.3206,                0.85401,                0.76517,                0.82629,                0.47952,                 1.4593,                0.78808,                 1.6182,               0.000713,               0.000713,               0.000713
                     67,                 1.1359,                0.67066,                 1.3055,                0.87976,                0.76108,                0.82853,                0.48573,                  1.453,                0.79872,                 1.6236,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.1077,                0.66327,                 1.2948,                 0.8624,                0.77699,                0.82618,                0.48494,                 1.4599,                 0.7718,                  1.643,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.1064,                0.66539,                 1.2959,                 0.8514,                0.78329,                0.83277,                0.48497,                 1.4654,                0.78382,                 1.6303,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.1196,                0.66456,                 1.3019,                0.87376,                0.76675,                0.83734,                0.48696,                 1.4696,                0.78939,                 1.6423,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.1037,                0.65825,                 1.2865,                0.86653,                0.78014,                0.83521,                0.48574,                 1.4734,                0.77188,                 1.6614,               0.000614,               0.000614,               0.000614
                     72,                 1.1084,                0.65725,                 1.2886,                0.85262,                0.78408,                0.83282,                0.48671,                 1.4584,                0.78212,                 1.6252,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.1008,                0.65333,                 1.2823,                0.87339,                0.76832,                0.83469,                0.48738,                 1.4732,                0.78025,                 1.6519,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.0874,                 0.6416,                 1.2759,                0.87913,                 0.7699,                0.83054,                 0.4844,                 1.4573,                0.78639,                  1.628,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.0738,                0.62761,                 1.2621,                0.89015,                0.75346,                0.83163,                0.48508,                 1.4687,                 0.7657,                 1.6447,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.0596,                0.62605,                 1.2518,                0.84171,                0.79748,                0.83722,                0.48821,                 1.4667,                0.77239,                 1.6398,               0.000515,               0.000515,               0.000515
                     77,                 1.0578,                0.62212,                 1.2591,                0.86584,                0.76044,                 0.8214,                0.47803,                 1.4691,                0.76975,                 1.6634,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.0516,                0.62029,                 1.2529,                0.84607,                0.77962,                0.82771,                0.48189,                 1.4555,                0.76142,                 1.6323,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.0586,                0.62246,                 1.2588,                0.87913,                0.76806,                 0.8375,                0.48754,                 1.4613,                0.76795,                  1.655,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.0589,                0.62623,                   1.26,                0.87519,                0.76809,                0.82883,                0.48456,                 1.4609,                0.77618,                 1.6518,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.0389,                0.61606,                 1.2478,                0.86985,                0.77699,                  0.833,                0.48365,                 1.4508,                0.77347,                 1.6373,               0.000416,               0.000416,               0.000416
                     82,                 1.0389,                0.60716,                 1.2319,                0.86637,                 0.7762,                0.82373,                0.48602,                 1.4429,                0.76204,                 1.6318,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.0355,                0.61206,                 1.2393,                0.87811,                0.77775,                0.83559,                0.49239,                  1.451,                0.75363,                 1.6431,              0.0003764,              0.0003764,              0.0003764
                     84,                  1.025,                 0.5985,                  1.222,                0.87262,                0.77069,                  0.835,                0.49048,                 1.4577,                0.77154,                 1.6453,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.0389,                0.60489,                  1.235,                0.85402,                0.77913,                0.82489,                0.48706,                 1.4708,                0.77289,                 1.6563,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.0148,                0.59551,                 1.2167,                0.87148,                 0.7641,                0.83059,                0.48696,                 1.4703,                0.75669,                 1.6579,               0.000317,               0.000317,               0.000317
                     87,                 1.0157,                0.58907,                 1.2158,                0.86737,                 0.7833,                0.83435,                0.48826,                 1.4667,                0.75945,                 1.6644,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.0035,                0.58399,                 1.2157,                 0.8586,                 0.7896,                0.83553,                0.49126,                 1.4573,                0.75769,                 1.6501,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.0174,                0.59625,                 1.2222,                  0.885,                0.77018,                0.83183,                0.49265,                 1.4589,                 0.7683,                 1.6504,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.0054,                0.58742,                 1.2162,                0.87865,                0.76202,                0.83029,                0.49147,                 1.4607,                0.75563,                 1.6703,              0.0002378,              0.0002378,              0.0002378
                     91,                0.96135,                0.54143,                  1.194,                0.87389,                0.77069,                0.82437,                0.47981,                 1.4606,                 0.7526,                 1.6555,               0.000218,               0.000218,               0.000218
                     92,                0.94516,                 0.5306,                 1.1827,                0.85759,                0.78723,                0.83171,                0.48921,                 1.4642,                0.76621,                 1.6685,              0.0001982,              0.0001982,              0.0001982
                     93,                0.92508,                  0.518,                 1.1765,                0.84744,                0.78645,                0.83129,                0.49219,                 1.4609,                0.77433,                 1.6602,              0.0001784,              0.0001784,              0.0001784
                     94,                0.92235,                0.51553,                 1.1741,                0.86186,                 0.7896,                0.83561,                0.48985,                 1.4593,                0.75745,                 1.6677,              0.0001586,              0.0001586,              0.0001586
                     95,                0.91663,                0.50775,                 1.1716,                0.88156,                0.76832,                0.83642,                0.49507,                 1.4599,                0.77328,                 1.6696,              0.0001388,              0.0001388,              0.0001388
                     96,                0.92033,                0.51249,                 1.1665,                0.84892,                0.78014,                0.83272,                0.49403,                 1.4638,                0.77371,                 1.6821,               0.000119,               0.000119,               0.000119
                     97,                0.89707,                0.50732,                  1.158,                0.87919,                0.76846,                0.83635,                 0.4937,                 1.4629,                 0.7662,                 1.6815,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.89516,                0.50255,                 1.1508,                0.85984,                0.78093,                0.83936,                0.49591,                 1.4613,                0.75913,                   1.68,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.88581,                0.49543,                 1.1474,                0.87685,                0.77384,                0.83734,                0.49561,                 1.4591,                0.76132,                 1.6733,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 0.8819,                0.49081,                 1.1438,                0.88348,                0.77077,                0.83758,                0.49709,                 1.4593,                0.77007,                 1.6809,               3.98e-05,               3.98e-05,               3.98e-05
