                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.4146,                0.82524,                 1.2972,                0.86193,                 0.6777,                0.76308,                0.43931,                 1.4601,                0.77823,                 1.2843,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.3895,                0.81954,                 1.2801,                0.87451,                0.66447,                0.75895,                0.44191,                 1.4679,                0.78211,                 1.2709,               0.001109,               0.001109,               0.001109
                     47,                 1.3754,                0.81112,                 1.2745,                0.87877,                0.66903,                0.75905,                0.44204,                 1.4282,                0.76109,                 1.2731,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.3944,                 0.8183,                 1.2922,                0.86832,                0.68073,                0.76757,                0.44604,                 1.4229,                0.75675,                 1.2652,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.3603,                0.79693,                 1.2646,                0.86732,                0.66036,                0.75276,                 0.4429,                   1.41,                0.76342,                 1.2585,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.3655,                 0.8091,                 1.2724,                0.84893,                 0.6974,                0.77425,                0.44843,                 1.4422,                0.75221,                 1.2723,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.3679,                0.79626,                 1.2613,                0.86294,                0.68468,                0.76834,                0.43773,                 1.4551,                0.77333,                 1.2737,                0.00101,                0.00101,                0.00101
                     52,                 1.3542,                0.78807,                 1.2541,                0.86249,                0.69199,                0.77056,                0.45373,                 1.4173,                0.74426,                 1.2603,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.3162,                0.77251,                 1.2415,                0.87834,                0.68243,                0.76618,                0.44492,                 1.4327,                0.75251,                 1.2772,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.3417,                0.77107,                 1.2454,                0.83686,                0.68315,                 0.7664,                 0.4401,                 1.4473,                0.76348,                 1.2709,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.3324,                0.77379,                 1.2478,                 0.8696,                0.66745,                 0.7628,                0.44564,                 1.4271,                0.76417,                 1.2671,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.3259,                0.77096,                 1.2408,                0.86811,                0.70292,                0.77882,                0.44649,                 1.4152,                0.74621,                  1.269,               0.000911,               0.000911,               0.000911
                     57,                 1.3077,                0.76166,                 1.2434,                0.85604,                0.68883,                0.76653,                0.44431,                  1.441,                0.76235,                 1.2738,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.3138,                0.76061,                  1.232,                0.85008,                0.68811,                0.77703,                0.45322,                 1.4203,                0.74168,                 1.2667,              0.0008714,              0.0008714,              0.0008714
